id,x,y,ra,dec,r2,flag,u,g,r,i,z,uerr,gerr,rerr,ierr,zerr,e(b-v),u(SExflag),g(SExflag),r(SExflag),i(SExflag),zflag
151431,13006.2,13113.52,34.3275937,-4.0224548,8.39,8,15.4448,14.7991,14.3089,14.2868,13.925,3.0E-4,1.0E-4,1.0E-4,2.0E-4,2.0E-4,0.0232,2,2,2,2,-32768
152307,6444.63,13165.68,34.6674424,-4.019761,7.36,8,15.9128,15.1913,14.6319,14.4629,14.0131,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0211,2,2,2,2,-32768
152988,11973.73,13382.49,34.3810716,-4.0085677,8.35,8,14.8891,14.5454,14.2589,14.2534,13.9496,2.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0231,2,2,2,2,-32768
153530,523.88,13227.9,34.974088,-4.0164263,5.56,8,15.8359,15.3431,14.9452,14.9678,14.5376,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0211,0,0,0,0,-32768
155136,8586.5,13432.29,34.5565061,-4.0060011,6.59,8,15.4765,15.0128,14.6554,14.6649,14.3627,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0215,0,1,0,0,-32768
156796,1835.14,13541.44,34.9061688,-4.0002637,5.9,8,15.8956,15.3228,14.9199,14.8765,14.3962,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0217,2,2,2,2,-32768
163431,14761.51,14201.92,34.2366993,-3.9661979,6.1,8,15.8017,15.337,14.7516,14.8904,14.3845,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0227,0,0,0,0,-32768
165959,15311.68,14384.12,34.2082101,-3.9567747,6.63,8,15.3588,15.0014,14.7296,14.681,14.3763,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0224,0,0,0,0,-32768
166506,710.57,14423.52,34.9643827,-3.9546609,7.99,8,16.213,15.0916,14.6101,14.3124,14.0484,5.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0203,2,2,2,2,-32768
173993,19056.88,14872.22,34.0142724,-3.9314673,5.59,8,16.3365,15.5045,14.997,14.9403,14.4575,5.0E-4,2.0E-4,3.0E-4,2.0E-4,2.0E-4,0.0208,0,0,1,1,-32768
175232,6410.64,15193.61,34.6691802,-3.9149864,7.34,8,17.3489,15.9507,14.8773,14.4755,13.9475,9.0E-4,3.0E-4,2.0E-4,2.0E-4,1.0E-4,0.0218,2,2,2,2,-32768
178648,13984.08,15201.62,34.276977,-3.9145601,6.23,8,16.0647,15.4306,14.9259,14.8777,14.6083,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0232,2,3,2,2,-32768
179529,18452.21,15035.05,34.0455899,-3.9230724,9.96,8,23.4547,15.568,14.6546,14.4993,15.7086,0.1097,2.0E-4,2.0E-4,2.0E-4,6.0E-4,0.0209,51,51,51,51,-32768
179791,11273.23,15465.79,34.4173635,-3.900937,6.98,8,16.1344,15.2868,14.7346,14.6081,14.358,4.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.022,2,2,2,3,-32768
180186,50.12,15411.39,34.998552,-3.9036042,0.0,0,99.0,99.0,14.6485,99.0,99.0,99.0,99.0,3.0E-4,99.0,99.0,0.019,1,1,1,1,-32768
182028,271.07,15751.4,34.9871001,-3.8860449,9.37,8,15.2573,14.6628,14.2831,14.1483,13.9652,3.0E-4,2.0E-4,2.0E-4,1.0E-4,3.0E-4,0.019,0,1,0,1,-32768
184963,8598.01,15986.0,34.5559006,-3.8740626,10.23,8,15.4152,14.6726,14.0867,13.9572,13.6655,3.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0229,2,2,2,2,-32768
192155,8099.33,16609.85,34.5817208,-3.8418293,7.03,8,15.5679,15.0386,14.594,14.5644,14.21,3.0E-4,1.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0222,0,0,0,0,-32768
196125,16404.76,16910.98,34.1516599,-3.8262051,8.52,8,15.2389,14.7657,14.4218,14.3469,14.1686,3.0E-4,1.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0228,0,1,1,1,-32768
198232,9036.47,17071.41,34.5331929,-3.8179862,5.89,8,15.6144,15.2745,14.9301,14.9511,14.473,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0231,0,0,0,0,-32768
200003,9340.05,17166.29,34.5174734,-3.8130847,11.78,8,26.548,15.311,14.7283,14.9827,19.7071,1.0047,2.0E-4,2.0E-4,3.0E-4,0.0153,0.0233,35,35,35,35,-32768
200670,14414.24,17245.4,34.2547337,-3.8089629,7.88,8,15.5591,14.9136,14.5497,14.4497,14.2574,3.0E-4,1.0E-4,2.0E-4,1.0E-4,2.0E-4,0.0226,2,2,2,2,-32768
203377,8037.35,17465.02,34.5849254,-3.7976474,6.36,8,15.0723,14.8585,14.6965,14.7608,14.3589,2.0E-4,1.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0218,2,3,2,2,-32768
203441,14337.65,17574.87,34.2587048,-3.7919427,8.34,8,15.2152,14.7004,14.4677,14.3781,14.2521,2.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0226,0,1,1,0,-32768
