CATAID,COSMOS_ID_06,COSMOS_ID_08,COSMOS_ID_13,RA,DEC,r_mag
6234599,0,1000538.0,169275.0,150.144818212681,2.2449265625278,14.144524362421862
6234495,0,1000987.0,170659.0,150.08845321124,2.24357168957761,14.336901356957483
6234362,0,1000743.0,170036.0,150.115764182069,2.24503133647212,14.196795091918922
6234071,1606082,997955.0,175565.0,150.210144715618,2.2644172103681,14.619577833449135
6233644,0,996637.0,176714.0,150.181481602004,2.27129869850485,14.040849604131466
6233318,1600253,995677.0,183262.0,150.148001668905,2.28051029996387,14.777343225226005
6233175,0,1017941.0,134076.0,150.080581796793,2.13316068662091,14.109457939869998
6232008,0,985277.0,150394.0,150.315339858669,2.17981753174148,14.581612753529
6231254,1580753,980565.0,161034.0,150.228642432369,2.21074111655841,14.690453022197453
6230831,0,980291.0,160642.0,150.349926125306,2.2154244693068,14.425571371973128
6230537,0,976292.0,168390.0,150.364236019842,2.23748296013185,14.183970721156577
6230499,1574839,978421.0,166455.0,150.239750421883,2.22636658346324,14.733932695404285
6230427,0,978444.0,164157.0,150.298928298642,2.22908475982407,14.068159540833527
6230047,1571529,975178.0,172722.0,150.234069863386,2.2434533006585,14.980005801542191
6229775,1569258,974643.0,173642.0,150.239060912568,2.25192473136066,14.860372851185225
6229257,0,971780.0,178510.0,150.349977437855,2.26945650419179,14.425893163219122
6224739,0,952199.0,166849.0,150.538209201467,2.23266970238724,14.228031034811046
6224725,0,951434.0,167378.0,150.482550080469,2.23177439864922,14.242378594027109
6224109,0,949947.0,173064.0,150.465035027764,2.24843915581849,14.902939409353031
6223624,0,947379.0,177667.0,150.470087241735,2.26608986129648,14.325355024283105
6221474,1513966,941664.0,141179.0,150.580376319652,2.14302671506714,14.84652248305568
6221017,1510390,939331.0,143578.0,150.623923283467,2.1560364898155,14.454589016595754
6220624,0,938356.0,146493.0,150.606475382457,2.16925366519876,14.218498826713983
6220471,1506091,936995.0,150787.0,150.599151857126,2.17471324749534,14.841368765977265
6220012,0,934405.0,153497.0,150.623921397922,2.19127403560791,14.139577354061238
6219893,1501189,933976.0,156340.0,150.648747155807,2.1949617094862,14.779761178546941
6219171,0,929601.0,162958.0,150.592603873586,2.2200805526618,14.40839927472377
6218590,1488994,926242.0,173540.0,150.611485222933,2.24482348041742,14.895706486632143
6218351,1486821,924736.0,176546.0,150.586684925817,2.25331002780224,14.229415411341655
